"date","close","volume","open","high","low"

"2019/08/23","67.4900","15373740.0000","68.8200","69.5250","67.0300"
"2019/08/22","69.5700","8973175.0000","69.9100","69.9600","69.2500"
"2019/08/21","69.7200","10134530.0000","69.9600","69.9800","69.3700"
"2019/08/20","69.0300","9744252.0000","69.3000","69.3000","68.7100"
"2019/08/19","69.4500","10032820.0000","68.9700","69.6500","68.8600"
"2019/08/16","68.3000","12649040.0000","67.7800","68.4600","67.2691"
"2019/08/15","67.2500","12874370.0000","67.4600","67.5550","66.5250"
"2019/08/14","67.6500","18114360.0000","69.0700","69.0900","67.6500"
"2019/08/13","70.4900","12438510.0000","69.2700","70.6200","68.9200"
"2019/08/12","69.6300","9542598.0000","70.0600","70.1600","69.3300"
"2019/08/09","70.8400","13686610.0000","72.1300","72.2500","70.4700"
"2019/08/08","72.3800","14304050.0000","70.8500","72.4100","70.6200"
"2019/08/07","70.5000","15231050.0000","69.8600","70.8750","69.4000"
"2019/08/06","70.9600","12282360.0000","70.2900","71.0100","70.2800"
"2019/08/05","70.2800","19080930.0000","70.7800","70.9200","69.6100"
"2019/08/02","71.7500","21376740.0000","72.6100","73.2600","71.1800"
"2019/08/01","72.4600","17132820.0000","73.7400","74.2684","72.2650"
"2019/07/31","74.3600","13104590.0000","75.0400","75.6600","74.2600"
"2019/07/30","75.3500","6961197.0000","75.0600","75.5550","74.8900"
"2019/07/29","75.3400","7091889.0000","74.8800","75.3800","74.7000"
"2019/07/26","74.8100","7677427.0000","74.8700","75.0800","74.6000"
"2019/07/25","74.9300","9083914.0000","75.7800","75.7800","74.8000"
"2019/07/24","75.3600","8260245.0000","75.3900","76.0500","74.8500"
"2019/07/23","75.3700","8551205.0000","75.1500","75.7700","74.7500"
"2019/07/22","75.0700","8370141.0000","75.2400","75.3000","74.5000"
"2019/07/19","74.9900","11243310.0000","74.9000","75.2500","74.5350"
"2019/07/18","74.8400","11425660.0000","75.0300","75.2700","74.1800"
"2019/07/17","75.4800","7419314.0000","75.7400","75.9600","75.3500"
"2019/07/16","75.9300","10197360.0000","76.9200","77.0700","75.7900"
"2019/07/15","77.0800","7116356.0000","77.6300","77.7400","76.8900"
"2019/07/12","77.6300","6139299.0000","77.7500","77.8799","77.5000"
"2019/07/11","77.5700","6404194.0000","77.4100","77.6100","77.0500"
"2019/07/10","77.5100","8077369.0000","76.8000","77.6300","76.7400"
"2019/07/09","76.4300","7863026.0000","76.4500","76.7700","75.7300"
"2019/07/08","76.4800","7876097.0000","76.1400","76.7000","75.9150"
"2019/07/05","76.1300","6881115.0000","76.1900","76.3500","75.5900"
"2019/07/03","76.4400","5246096.0000","75.8200","76.5000","75.6250"
"2019/07/02","75.7200","10475420.0000","76.1400","76.2700","75.4100"
"2019/07/01","76.5600","11453770.0000","77.1300","77.9250","76.2900"
"2019/06/28","76.6300","14781300.0000","76.1900","76.7300","75.9407"
"2019/06/27","75.8200","8147803.0000","76.5900","76.7500","75.7600"
"2019/06/26","76.6000","11365480.0000","76.6800","77.1300","76.4700"
"2019/06/25","76.2700","9739970.0000","77.0800","77.2200","76.1900"
"2019/06/24","76.9500","10012240.0000","77.5300","77.7600","76.8100"
"2019/06/21","77.6900","23108130.0000","77.1400","77.7600","76.8700"
"2019/06/20","76.6100","16229720.0000","76.2400","76.9750","76.0800"
"2019/06/19","75.3200","9757390.0000","75.4000","75.8530","75.1735"
"2019/06/18","75.7400","10091480.0000","75.4200","76.2200","75.3500"
"2019/06/17","75.0900","9355715.0000","74.1600","75.1900","74.0400"
"2019/06/14","74.3500","8575907.0000","74.6800","74.8100","74.2300"
"2019/06/13","74.6800","8986427.0000","74.7000","75.1700","74.3800"
"2019/06/12","74.0300","7921018.0000","74.4800","74.6100","73.8100"
"2019/06/11","74.8400","9415134.0000","75.5100","75.8100","74.8200"
"2019/06/10","74.9100","7760402.0000","75.1900","75.3300","74.4500"
"2019/06/07","74.5800","9095481.0000","74.5100","74.9632","74.4300"
"2019/06/06","74.3100","11738900.0000","73.7100","74.6155","73.5900"
"2019/06/05","72.9800","10617830.0000","73.6400","73.6400","72.5850"
"2019/06/04","73.5900","10423020.0000","72.4500","73.6600","72.1700"
"2019/06/03","71.8800","11831260.0000","71.0900","72.0100","70.9659"
"2019/05/31","70.7700","13983310.0000","71.1900","71.5500","70.6300"
"2019/05/30","71.9700","9362146.0000","72.0200","72.1300","71.5300"
"2019/05/29","72.1600","13645180.0000","71.8900","72.4300","71.6200"
"2019/05/28","72.6100","14912930.0000","74.2400","74.2500","72.4850"
"2019/05/24","74.1000","7056566.0000","74.1400","74.2500","73.4400"
"2019/05/23","73.7900","14657220.0000","74.7700","74.8000","73.0400"
"2019/05/22","75.5600","7858317.0000","76.0200","76.2200","75.3850"
"2019/05/21","76.2500","8490107.0000","76.2700","76.4600","75.9300"
"2019/05/20","75.9000","7154620.0000","76.0500","76.3600","75.6700"
"2019/05/17","75.9100","9279383.0000","75.6500","76.3000","75.5900"
"2019/05/16","76.3600","8105630.0000","76.4000","76.9500","76.2200"
"2019/05/15","76.3700","8918004.0000","75.5700","76.5500","75.2100"
"2019/05/14","75.8100","10548420.0000","76.1300","76.8000","75.7600"
"2019/05/13","75.7100","12176300.0000","75.6500","76.2300","75.3600"
"2019/05/10","76.5600","11055960.0000","76.1800","76.7900","75.1700"
"2019/05/09","76.7700","13221650.0000","76.3500","76.8800","75.9600"
"2019/05/08","76.8400","11352860.0000","76.5400","77.2900","76.4200"
"2019/05/07","76.7200","13498820.0000","76.5000","76.7900","75.7671"
"2019/05/06","77.1300","13367120.0000","76.9200","77.6600","76.7100"
"2019/05/03","77.4700","12180740.0000","77.7900","78.2100","77.4400"
"2019/05/02","77.2900","15360390.0000","78.2800","78.5000","77.2400"
"2019/05/01","78.6700","13909750.0000","79.9400","80.2600","78.6200"
"2019/04/30","80.2800","13636820.0000","80.3700","80.5250","79.9300"
"2019/04/29","79.9700","9362222.0000","80.1200","80.3800","79.6600"
"2019/04/26","80.4900","18046100.0000","80.2700","80.6300","79.5600"
"2019/04/25","82.2200","11128640.0000","81.6500","82.8400","81.4000"
"2019/04/24","81.7600","11681190.0000","83.0100","83.0800","81.7300"
"2019/04/23","83.3800","10593010.0000","83.1900","83.4900","82.6800"
"2019/04/22","82.9000","10759630.0000","81.8700","83.2200","81.6400"
"2019/04/18","81.1300","9342704.0000","81.5600","81.8300","81.0700"
"2019/04/17","81.4300","7977167.0000","81.5500","81.7000","81.0800"
"2019/04/16","81.2000","7005677.0000","80.8100","81.3450","80.6900"
"2019/04/15","80.6500","8531585.0000","80.8900","81.0600","80.5200"
"2019/04/12","80.9200","16633030.0000","82.8100","82.8100","80.5750"
"2019/04/11","81.9500","9114722.0000","81.5400","82.0700","81.0200"
"2019/04/10","81.5600","10228250.0000","81.9200","82.0800","81.4100"
"2019/04/09","81.9300","8561143.0000","82.5200","82.5800","81.7400"
"2019/04/08","83.0000","9108003.0000","82.6700","83.2000","82.5900"
"2019/04/05","82.4900","10058760.0000","82.1500","82.5300","81.9516"
"2019/04/04","82.0500","9358680.0000","81.1200","82.0764","80.7700"
"2019/04/03","80.9000","8561749.0000","81.7700","81.7700","80.6050"
"2019/04/02","81.3800","7616057.0000","81.7500","81.9500","81.1100"
"2019/04/01","81.7300","10297190.0000","81.2300","81.7800","81.0800"
"2019/03/29","80.8000","10889160.0000","81.3300","81.4800","80.4800"
"2019/03/28","80.7400","7412338.0000","80.0300","80.7900","80.0200"
"2019/03/27","80.3400","7203307.0000","80.9700","81.3100","79.8200"
"2019/03/26","80.9600","9472668.0000","80.3300","81.2700","80.1800"
"2019/03/25","79.9200","11318730.0000","80.0000","80.4400","79.5900"
"2019/03/22","80.4800","12488160.0000","81.2300","81.4400","80.3000"
"2019/03/21","81.7900","10116180.0000","80.8100","81.8900","80.8000"
"2019/03/20","81.3200","13121370.0000","80.7500","81.9200","80.5600"
"2019/03/19","80.8700","13627130.0000","81.5800","82.0000","80.6400"
"2019/03/18","81.0800","9839632.0000","80.4400","81.2500","80.4400"
"2019/03/15","80.1500","25316320.0000","80.1800","80.5516","80.1000"
"2019/03/14","80.4400","9976667.0000","80.8000","80.9100","80.3500"
"2019/03/13","80.7100","10258310.0000","80.5900","80.7600","80.2000"
"2019/03/12","80.0000","11311840.0000","80.1100","80.5800","79.8900"
"2019/03/11","79.7800","11059250.0000","79.9800","80.2900","79.6500"
"2019/03/08","79.0100","16209530.0000","78.8900","79.3200","78.2500"
"2019/03/07","80.1600","16472420.0000","79.5500","80.2600","79.3200"
"2019/03/06","79.2800","18628700.0000","78.8500","79.3800","77.8600"
"2019/03/05","80.1900","12962210.0000","80.1200","80.4000","79.7507"
"2019/03/04","80.3100","18075560.0000","80.2400","80.5450","79.0116"
"2019/03/01","80.0000","15296060.0000","79.3800","80.0000","79.0300"
"2019/02/28","79.0300","14589660.0000","79.4500","79.7500","78.7100"
"2019/02/27","79.4700","12391600.0000","78.8800","79.7538","78.6600"
"2019/02/26","78.6600","10781830.0000","78.6800","79.1300","78.3900"
"2019/02/25","78.5000","9012557.0000","78.4300","78.8500","78.2000"
"2019/02/22","78.4200","9519271.0000","78.7100","78.9500","77.6200"
"2019/02/21","77.8200","10189160.0000","78.2100","78.6600","77.6100"
"2019/02/20","78.5300","12633050.0000","78.3000","78.8100","78.0000"
"2019/02/19","78.2300","13549470.0000","77.5600","78.4800","77.4500"
"2019/02/15","77.7100","14329800.0000","76.9400","77.7600","76.7500"
"2019/02/14","76.2700","12772360.0000","76.2600","76.6500","75.7100"
"2019/02/13","76.2500","13195340.0000","75.5800","76.5400","75.5100"
"2019/02/12","75.4000","12592280.0000","75.0800","75.4500","74.8200"
"2019/02/11","74.1000","10434810.0000","73.8200","74.2200","73.4000"
"2019/02/08","73.9800","11959290.0000","73.7600","74.0700","72.7300"
"2019/02/07","74.6800","14364720.0000","74.9500","75.1900","73.9000"
"2019/02/06","75.2600","10866080.0000","75.5800","75.7700","75.1300"
"2019/02/05","75.5900","12785020.0000","75.1800","75.6400","75.0101"
"2019/02/04","74.8200","15370690.0000","75.7600","75.7600","74.4000"
"2019/02/01","75.9200","22966590.0000","74.9200","76.4900","74.3200"
"2019/01/31","73.2800","19698300.0000","72.2900","73.4900","72.0200"
"2019/01/30","72.2900","11208600.0000","71.7700","72.5700","71.5050"
"2019/01/29","71.5100","10212270.0000","71.7000","72.1900","71.4800"
"2019/01/28","71.2400","13621710.0000","71.0200","71.2800","70.3700"
"2019/01/25","71.7200","8996152.0000","72.0700","72.2700","71.5350"
"2019/01/24","71.4000","10232900.0000","71.1000","71.9700","70.6394"
"2019/01/23","71.3000","12669050.0000","72.0100","72.2966","70.9300"
"2019/01/22","71.8900","14932910.0000","72.3900","72.7100","71.6800"
"2019/01/18","72.9900","15722350.0000","73.2700","73.2900","72.1250"
"2019/01/17","72.1300","9974633.0000","71.1900","72.3400","70.8994"
"2019/01/16","71.6400","12541230.0000","71.4200","72.3750","71.3100"
"2019/01/15","71.6700","10148550.0000","71.9500","72.3600","71.3200"
"2019/01/14","71.6300","10840230.0000","71.2100","71.7800","71.1200"
